         ps       /delay_tb/rst       /delay_tb/din_i                  
          delta     /delay_tb/ena         /delay_tb/din_iMinus         
                      /delay_tb/clk                                    
                               /delay_tb/din                           
  285000000  +1               0 1 1 00000100 00000100 00000011 
  285000000  +3               0 1 1 00000100 00000100 00000100 
  290000000  +1               0 1 0 00000101 00000100 00000100 
  290000000  +2               0 1 0 00000101 00000101 00000100 
  295000000  +1               0 1 1 00000101 00000101 00000100 
  295000000  +3               0 1 1 00000101 00000101 00000101 
  300000000  +1               0 1 0 00000110 00000101 00000101 
  300000000  +2               0 1 0 00000110 00000110 00000101 
  305000000  +1               0 1 1 00000110 00000110 00000101 
  305000000  +3               0 1 1 00000110 00000110 00000110 
  310000000  +1               0 1 0 00000111 00000110 00000110 
  310000000  +2               0 1 0 00000111 00000111 00000110 
  315000000  +1               0 1 1 00000111 00000111 00000110 
  315000000  +3               0 1 1 00000111 00000111 00000111 
  320000000  +1               0 1 0 00001000 00000111 00000111 
  320000000  +2               0 1 0 00001000 00001000 00000111 
  325000000  +1               0 1 1 00001000 00001000 00000111 
  325000000  +3               0 1 1 00001000 00001000 00001000 
  330000000  +1               0 1 0 00001001 00001000 00001000 
  330000000  +2               0 1 0 00001001 00001001 00001000 
  335000000  +1               0 1 1 00001001 00001001 00001000 
  335000000  +3               0 1 1 00001001 00001001 00001001 
  340000000  +1               0 1 0 00001010 00001001 00001001 
  340000000  +2               0 1 0 00001010 00001010 00001001 
  345000000  +1               0 1 1 00001010 00001010 00001001 
  345000000  +3               0 1 1 00001010 00001010 00001010 
  350000000  +1               0 1 0 00001011 00001010 00001010 
  350000000  +2               0 1 0 00001011 00001011 00001010 
  355000000  +1               0 1 1 00001011 00001011 00001010 
  355000000  +3               0 1 1 00001011 00001011 00001011 
  360000000  +1               0 1 0 00000000 00001011 00001011 
  360000000  +2               0 1 0 00000000 00000000 00001011 
  365000000  +1               0 1 1 00000000 00000000 00001011 
  365000000  +3               0 1 1 00000000 00000000 00000000 
  370000000  +1               0 1 0 00000001 00000000 00000000 
  370000000  +2               0 1 0 00000001 00000001 00000000 
  375000000  +1               0 1 1 00000001 00000001 00000000 
  375000000  +3               0 1 1 00000001 00000001 00000001 
  380000000  +1               0 1 0 00000010 00000001 00000001 
  380000000  +2               0 1 0 00000010 00000010 00000001 
  385000000  +1               0 1 1 00000010 00000010 00000001 
  385000000  +3               0 1 1 00000010 00000010 00000010 
  390000000  +1               0 1 0 00000011 00000010 00000010 
  390000000  +2               0 1 0 00000011 00000011 00000010 
  395000000  +1               0 1 1 00000011 00000011 00000010 
  395000000  +3               0 1 1 00000011 00000011 00000011 
  400000000  +1               0 1 0 00000100 00000011 00000011 
  400000000  +2               0 1 0 00000100 00000100 00000011 
  405000000  +1               0 1 1 00000100 00000100 00000011 
  405000000  +3               0 1 1 00000100 00000100 00000100 
  410000000  +1               0 1 0 00000101 00000100 00000100 
  410000000  +2               0 1 0 00000101 00000101 00000100 
  415000000  +1               0 1 1 00000101 00000101 00000100 
  415000000  +3               0 1 1 00000101 00000101 00000101 
  420000000  +1               0 1 0 00000110 00000101 00000101 
  420000000  +2               0 1 0 00000110 00000110 00000101 
  425000000  +1               0 1 1 00000110 00000110 00000101 
  425000000  +3               0 1 1 00000110 00000110 00000110 
  430000000  +1               0 1 0 00000111 00000110 00000110 
  430000000  +2               0 1 0 00000111 00000111 00000110 
  435000000  +1               0 1 1 00000111 00000111 00000110 
  435000000  +3               0 1 1 00000111 00000111 00000111 
  440000000  +1               0 1 0 00001000 00000111 00000111 
  440000000  +2               0 1 0 00001000 00001000 00000111 
  445000000  +1               0 1 1 00001000 00001000 00000111 
  445000000  +3               0 1 1 00001000 00001000 00001000 
  450000000  +1               0 1 0 00001001 00001000 00001000 
  450000000  +2               0 1 0 00001001 00001001 00001000 
  455000000  +1               0 1 1 00001001 00001001 00001000 
  455000000  +3               0 1 1 00001001 00001001 00001001 
  460000000  +1               0 1 0 00001010 00001001 00001001 
  460000000  +2               0 1 0 00001010 00001010 00001001 
  465000000  +1               0 1 1 00001010 00001010 00001001 
  465000000  +3               0 1 1 00001010 00001010 00001010 
  470000000  +1               0 1 0 00001011 00001010 00001010 
  470000000  +2               0 1 0 00001011 00001011 00001010 
  475000000  +1               0 1 1 00001011 00001011 00001010 
  475000000  +3               0 1 1 00001011 00001011 00001011 
  480000000  +1               0 1 0 00000000 00001011 00001011 
  480000000  +2               0 1 0 00000000 00000000 00001011 
  485000000  +1               0 1 1 00000000 00000000 00001011 
  485000000  +3               0 1 1 00000000 00000000 00000000 
  490000000  +1               0 1 0 00000001 00000000 00000000 
  490000000  +2               0 1 0 00000001 00000001 00000000 
  495000000  +1               0 1 1 00000001 00000001 00000000 
  495000000  +3               0 1 1 00000001 00000001 00000001 
  500000000  +1               0 1 0 00000010 00000001 00000001 
  500000000  +2               0 1 0 00000010 00000010 00000001 
  505000000  +1               0 1 1 00000010 00000010 00000001 
  505000000  +3               0 1 1 00000010 00000010 00000010 
  510000000  +1               0 1 0 00000011 00000010 00000010 
  510000000  +2               0 1 0 00000011 00000011 00000010 
  515000000  +1               0 1 1 00000011 00000011 00000010 
  515000000  +3               0 1 1 00000011 00000011 00000011 
  520000000  +1               0 1 0 00000100 00000011 00000011 
  520000000  +2               0 1 0 00000100 00000100 00000011 
  525000000  +1               0 1 1 00000100 00000100 00000011 
  525000000  +3               0 1 1 00000100 00000100 00000100 
  530000000  +1               0 1 0 00000101 00000100 00000100 
  530000000  +2               0 1 0 00000101 00000101 00000100 
  535000000  +1               0 1 1 00000101 00000101 00000100 
  535000000  +3               0 1 1 00000101 00000101 00000101 
  540000000  +1               0 1 0 00000110 00000101 00000101 
  540000000  +2               0 1 0 00000110 00000110 00000101 
  545000000  +1               0 1 1 00000110 00000110 00000101 
  545000000  +3               0 1 1 00000110 00000110 00000110 
  550000000  +1               0 1 0 00000111 00000110 00000110 
  550000000  +2               0 1 0 00000111 00000111 00000110 
  555000000  +1               0 1 1 00000111 00000111 00000110 
  555000000  +3               0 1 1 00000111 00000111 00000111 
  560000000  +1               0 1 0 00001000 00000111 00000111 
  560000000  +2               0 1 0 00001000 00001000 00000111 
  565000000  +1               0 1 1 00001000 00001000 00000111 
  565000000  +3               0 1 1 00001000 00001000 00001000 
  570000000  +1               0 1 0 00001001 00001000 00001000 
  570000000  +2               0 1 0 00001001 00001001 00001000 
  575000000  +1               0 1 1 00001001 00001001 00001000 
  575000000  +3               0 1 1 00001001 00001001 00001001 
  580000000  +1               0 1 0 00001010 00001001 00001001 
  580000000  +2               0 1 0 00001010 00001010 00001001 
  585000000  +1               0 1 1 00001010 00001010 00001001 
  585000000  +3               0 1 1 00001010 00001010 00001010 
  590000000  +1               0 1 0 00001011 00001010 00001010 
  590000000  +2               0 1 0 00001011 00001011 00001010 
  595000000  +1               0 1 1 00001011 00001011 00001010 
  595000000  +3               0 1 1 00001011 00001011 00001011 
  600000000  +1               0 1 0 00000000 00001011 00001011 
  600000000  +2               0 1 0 00000000 00000000 00001011 
  605000000  +1               0 1 1 00000000 00000000 00001011 
  605000000  +3               0 1 1 00000000 00000000 00000000 
  610000000  +1               0 1 0 00000001 00000000 00000000 
  610000000  +2               0 1 0 00000001 00000001 00000000 
  615000000  +1               0 1 1 00000001 00000001 00000000 
  615000000  +3               0 1 1 00000001 00000001 00000001 
  620000000  +1               0 1 0 00000010 00000001 00000001 
  620000000  +2               0 1 0 00000010 00000010 00000001 
  625000000  +1               0 1 1 00000010 00000010 00000001 
  625000000  +3               0 1 1 00000010 00000010 00000010 
  630000000  +1               0 1 0 00000011 00000010 00000010 
  630000000  +2               0 1 0 00000011 00000011 00000010 
  635000000  +1               0 1 1 00000011 00000011 00000010 
  635000000  +3               0 1 1 00000011 00000011 00000011 
  640000000  +1               0 1 0 00000100 00000011 00000011 
  640000000  +2               0 1 0 00000100 00000100 00000011 
  645000000  +1               0 1 1 00000100 00000100 00000011 
  645000000  +3               0 1 1 00000100 00000100 00000100 
  650000000  +1               0 1 0 00000101 00000100 00000100 
  650000000  +2               0 1 0 00000101 00000101 00000100 
  655000000  +1               0 1 1 00000101 00000101 00000100 
  655000000  +3               0 1 1 00000101 00000101 00000101 
  660000000  +1               0 1 0 00000110 00000101 00000101 
  660000000  +2               0 1 0 00000110 00000110 00000101 
  665000000  +1               0 1 1 00000110 00000110 00000101 
  665000000  +3               0 1 1 00000110 00000110 00000110 
  670000000  +1               0 1 0 00000111 00000110 00000110 
  670000000  +2               0 1 0 00000111 00000111 00000110 
  675000000  +1               0 1 1 00000111 00000111 00000110 
  675000000  +3               0 1 1 00000111 00000111 00000111 
  680000000  +1               0 1 0 00001000 00000111 00000111 
  680000000  +2               0 1 0 00001000 00001000 00000111 
  685000000  +1               0 1 1 00001000 00001000 00000111 
  685000000  +3               0 1 1 00001000 00001000 00001000 
  690000000  +1               0 1 0 00001001 00001000 00001000 
  690000000  +2               0 1 0 00001001 00001001 00001000 
  695000000  +1               0 1 1 00001001 00001001 00001000 
  695000000  +3               0 1 1 00001001 00001001 00001001 
  700000000  +1               0 1 0 00001010 00001001 00001001 
  700000000  +2               0 1 0 00001010 00001010 00001001 
  705000000  +1               0 1 1 00001010 00001010 00001001 
  705000000  +3               0 1 1 00001010 00001010 00001010 
  710000000  +1               0 1 0 00001011 00001010 00001010 
  710000000  +2               0 1 0 00001011 00001011 00001010 
  715000000  +1               0 1 1 00001011 00001011 00001010 
  715000000  +3               0 1 1 00001011 00001011 00001011 
  720000000  +1               0 1 0 00000000 00001011 00001011 
  720000000  +2               0 1 0 00000000 00000000 00001011 
  725000000  +1               0 1 1 00000000 00000000 00001011 
  725000000  +3               0 1 1 00000000 00000000 00000000 
  730000000  +1               0 1 0 00000001 00000000 00000000 
  730000000  +2               0 1 0 00000001 00000001 00000000 
  735000000  +1               0 1 1 00000001 00000001 00000000 
  735000000  +3               0 1 1 00000001 00000001 00000001 
  740000000  +1               0 1 0 00000010 00000001 00000001 
  740000000  +2               0 1 0 00000010 00000010 00000001 
  745000000  +1               0 1 1 00000010 00000010 00000001 
  745000000  +3               0 1 1 00000010 00000010 00000010 
  750000000  +1               0 1 0 00000011 00000010 00000010 
  750000000  +2               0 1 0 00000011 00000011 00000010 
  755000000  +1               0 1 1 00000011 00000011 00000010 
  755000000  +3               0 1 1 00000011 00000011 00000011 
  760000000  +1               0 1 0 00000100 00000011 00000011 
  760000000  +2               0 1 0 00000100 00000100 00000011 
  765000000  +1               0 1 1 00000100 00000100 00000011 
  765000000  +3               0 1 1 00000100 00000100 00000100 
  770000000  +1               0 1 0 00000101 00000100 00000100 
  770000000  +2               0 1 0 00000101 00000101 00000100 
  775000000  +1               0 1 1 00000101 00000101 00000100 
  775000000  +3               0 1 1 00000101 00000101 00000101 
  780000000  +1               0 1 0 00000110 00000101 00000101 
  780000000  +2               0 1 0 00000110 00000110 00000101 
  785000000  +1               0 1 1 00000110 00000110 00000101 
  785000000  +3               0 1 1 00000110 00000110 00000110 
  790000000  +1               0 1 0 00000111 00000110 00000110 
  790000000  +2               0 1 0 00000111 00000111 00000110 
  795000000  +1               0 1 1 00000111 00000111 00000110 
  795000000  +3               0 1 1 00000111 00000111 00000111 
  800000000  +1               0 1 0 00001000 00000111 00000111 
  800000000  +2               0 1 0 00001000 00001000 00000111 
  805000000  +1               0 1 1 00001000 00001000 00000111 
  805000000  +3               0 1 1 00001000 00001000 00001000 
  810000000  +1               0 1 0 00001001 00001000 00001000 
  810000000  +2               0 1 0 00001001 00001001 00001000 
  815000000  +1               0 1 1 00001001 00001001 00001000 
  815000000  +3               0 1 1 00001001 00001001 00001001 
  820000000  +1               0 1 0 00001010 00001001 00001001 
  820000000  +2               0 1 0 00001010 00001010 00001001 
  825000000  +1               0 1 1 00001010 00001010 00001001 
  825000000  +3               0 1 1 00001010 00001010 00001010 
  830000000  +1               0 1 0 00001011 00001010 00001010 
  830000000  +2               0 1 0 00001011 00001011 00001010 
  835000000  +1               0 1 1 00001011 00001011 00001010 
  835000000  +3               0 1 1 00001011 00001011 00001011 
  840000000  +1               0 1 0 00000000 00001011 00001011 
  840000000  +2               0 1 0 00000000 00000000 00001011 
  845000000  +1               0 1 1 00000000 00000000 00001011 
  845000000  +3               0 1 1 00000000 00000000 00000000 
  850000000  +1               0 1 0 00000001 00000000 00000000 
  850000000  +2               0 1 0 00000001 00000001 00000000 
  855000000  +1               0 1 1 00000001 00000001 00000000 
  855000000  +3               0 1 1 00000001 00000001 00000001 
  860000000  +1               0 1 0 00000010 00000001 00000001 
  860000000  +2               0 1 0 00000010 00000010 00000001 
  865000000  +1               0 1 1 00000010 00000010 00000001 
  865000000  +3               0 1 1 00000010 00000010 00000010 
  870000000  +1               0 1 0 00000011 00000010 00000010 
  870000000  +2               0 1 0 00000011 00000011 00000010 
  875000000  +1               0 1 1 00000011 00000011 00000010 
  875000000  +3               0 1 1 00000011 00000011 00000011 
  880000000  +1               0 1 0 00000100 00000011 00000011 
  880000000  +2               0 1 0 00000100 00000100 00000011 
  885000000  +1               0 1 1 00000100 00000100 00000011 
  885000000  +3               0 1 1 00000100 00000100 00000100 
  890000000  +1               0 1 0 00000101 00000100 00000100 
  890000000  +2               0 1 0 00000101 00000101 00000100 
  895000000  +1               0 1 1 00000101 00000101 00000100 
  895000000  +3               0 1 1 00000101 00000101 00000101 
  900000000  +1               0 1 0 00000110 00000101 00000101 
  900000000  +2               0 1 0 00000110 00000110 00000101 
  905000000  +1               0 1 1 00000110 00000110 00000101 
  905000000  +3               0 1 1 00000110 00000110 00000110 
  910000000  +1               0 1 0 00000111 00000110 00000110 
  910000000  +2               0 1 0 00000111 00000111 00000110 
  915000000  +1               0 1 1 00000111 00000111 00000110 
  915000000  +3               0 1 1 00000111 00000111 00000111 
  920000000  +1               0 1 0 00001000 00000111 00000111 
  920000000  +2               0 1 0 00001000 00001000 00000111 
  925000000  +1               0 1 1 00001000 00001000 00000111 
  925000000  +3               0 1 1 00001000 00001000 00001000 
  930000000  +1               0 1 0 00001001 00001000 00001000 
  930000000  +2               0 1 0 00001001 00001001 00001000 
  935000000  +1               0 1 1 00001001 00001001 00001000 
  935000000  +3               0 1 1 00001001 00001001 00001001 
  940000000  +1               0 1 0 00001010 00001001 00001001 
  940000000  +2               0 1 0 00001010 00001010 00001001 
  945000000  +1               0 1 1 00001010 00001010 00001001 
  945000000  +3               0 1 1 00001010 00001010 00001010 
  950000000  +1               0 1 0 00001011 00001010 00001010 
  950000000  +2               0 1 0 00001011 00001011 00001010 
  955000000  +1               0 1 1 00001011 00001011 00001010 
  955000000  +3               0 1 1 00001011 00001011 00001011 
  960000000  +1               0 1 0 00000000 00001011 00001011 
  960000000  +2               0 1 0 00000000 00000000 00001011 
  965000000  +1               0 1 1 00000000 00000000 00001011 
  965000000  +3               0 1 1 00000000 00000000 00000000 
  970000000  +1               0 1 0 00000001 00000000 00000000 
  970000000  +2               0 1 0 00000001 00000001 00000000 
  975000000  +1               0 1 1 00000001 00000001 00000000 
  975000000  +3               0 1 1 00000001 00000001 00000001 
  980000000  +1               0 1 0 00000010 00000001 00000001 
  980000000  +2               0 1 0 00000010 00000010 00000001 
  985000000  +1               0 1 1 00000010 00000010 00000001 
  985000000  +3               0 1 1 00000010 00000010 00000010 
  990000000  +1               0 1 0 00000011 00000010 00000010 
  990000000  +2               0 1 0 00000011 00000011 00000010 
  995000000  +1               0 1 1 00000011 00000011 00000010 
  995000000  +3               0 1 1 00000011 00000011 00000011 
 1000000000  +1               0 1 0 00000100 00000011 00000011 
 1000000000  +2               0 1 0 00000100 00000100 00000011 
 1005000000  +1               0 1 1 00000100 00000100 00000011 
 1005000000  +3               0 1 1 00000100 00000100 00000100 
 1010000000  +1               0 1 0 00000101 00000100 00000100 
 1010000000  +2               0 1 0 00000101 00000101 00000100 
 1015000000  +1               0 1 1 00000101 00000101 00000100 
