         ps       /delay_tb/rst       /delay_tb/din_i                  
          delta     /delay_tb/ena         /delay_tb/din_iMinus         
                      /delay_tb/clk                                    
                               /delay_tb/din                           
 6655000000  +1               0 1 1 00000101 00000101 00000100 
 6655000000  +3               0 1 1 00000101 00000101 00000101 
 6660000000  +1               0 1 0 00000110 00000101 00000101 
 6660000000  +2               0 1 0 00000110 00000110 00000101 
 6665000000  +1               0 1 1 00000110 00000110 00000101 
 6665000000  +3               0 1 1 00000110 00000110 00000110 
 6670000000  +1               0 1 0 00000111 00000110 00000110 
 6670000000  +2               0 1 0 00000111 00000111 00000110 
 6675000000  +1               0 1 1 00000111 00000111 00000110 
 6675000000  +3               0 1 1 00000111 00000111 00000111 
 6680000000  +1               0 1 0 00001000 00000111 00000111 
 6680000000  +2               0 1 0 00001000 00001000 00000111 
 6685000000  +1               0 1 1 00001000 00001000 00000111 
 6685000000  +3               0 1 1 00001000 00001000 00001000 
 6690000000  +1               0 1 0 00001001 00001000 00001000 
 6690000000  +2               0 1 0 00001001 00001001 00001000 
 6695000000  +1               0 1 1 00001001 00001001 00001000 
 6695000000  +3               0 1 1 00001001 00001001 00001001 
 6700000000  +1               0 1 0 00001010 00001001 00001001 
 6700000000  +2               0 1 0 00001010 00001010 00001001 
 6705000000  +1               0 1 1 00001010 00001010 00001001 
 6705000000  +3               0 1 1 00001010 00001010 00001010 
 6710000000  +1               0 1 0 00001011 00001010 00001010 
 6710000000  +2               0 1 0 00001011 00001011 00001010 
 6715000000  +1               0 1 1 00001011 00001011 00001010 
 6715000000  +3               0 1 1 00001011 00001011 00001011 
 6720000000  +1               0 1 0 00000000 00001011 00001011 
 6720000000  +2               0 1 0 00000000 00000000 00001011 
 6725000000  +1               0 1 1 00000000 00000000 00001011 
 6725000000  +3               0 1 1 00000000 00000000 00000000 
 6730000000  +1               0 1 0 00000001 00000000 00000000 
 6730000000  +2               0 1 0 00000001 00000001 00000000 
 6735000000  +1               0 1 1 00000001 00000001 00000000 
 6735000000  +3               0 1 1 00000001 00000001 00000001 
 6740000000  +1               0 1 0 00000010 00000001 00000001 
 6740000000  +2               0 1 0 00000010 00000010 00000001 
 6745000000  +1               0 1 1 00000010 00000010 00000001 
 6745000000  +3               0 1 1 00000010 00000010 00000010 
 6750000000  +1               0 1 0 00000011 00000010 00000010 
 6750000000  +2               0 1 0 00000011 00000011 00000010 
 6755000000  +1               0 1 1 00000011 00000011 00000010 
 6755000000  +3               0 1 1 00000011 00000011 00000011 
 6760000000  +1               0 1 0 00000100 00000011 00000011 
 6760000000  +2               0 1 0 00000100 00000100 00000011 
 6765000000  +1               0 1 1 00000100 00000100 00000011 
 6765000000  +3               0 1 1 00000100 00000100 00000100 
 6770000000  +1               0 1 0 00000101 00000100 00000100 
 6770000000  +2               0 1 0 00000101 00000101 00000100 
 6775000000  +1               0 1 1 00000101 00000101 00000100 
 6775000000  +3               0 1 1 00000101 00000101 00000101 
 6780000000  +1               0 1 0 00000110 00000101 00000101 
 6780000000  +2               0 1 0 00000110 00000110 00000101 
 6785000000  +1               0 1 1 00000110 00000110 00000101 
 6785000000  +3               0 1 1 00000110 00000110 00000110 
 6790000000  +1               0 1 0 00000111 00000110 00000110 
 6790000000  +2               0 1 0 00000111 00000111 00000110 
 6795000000  +1               0 1 1 00000111 00000111 00000110 
 6795000000  +3               0 1 1 00000111 00000111 00000111 
 6800000000  +1               0 1 0 00001000 00000111 00000111 
 6800000000  +2               0 1 0 00001000 00001000 00000111 
 6805000000  +1               0 1 1 00001000 00001000 00000111 
 6805000000  +3               0 1 1 00001000 00001000 00001000 
 6810000000  +1               0 1 0 00001001 00001000 00001000 
 6810000000  +2               0 1 0 00001001 00001001 00001000 
 6815000000  +1               0 1 1 00001001 00001001 00001000 
 6815000000  +3               0 1 1 00001001 00001001 00001001 
 6820000000  +1               0 1 0 00001010 00001001 00001001 
 6820000000  +2               0 1 0 00001010 00001010 00001001 
 6825000000  +1               0 1 1 00001010 00001010 00001001 
 6825000000  +3               0 1 1 00001010 00001010 00001010 
 6830000000  +1               0 1 0 00001011 00001010 00001010 
 6830000000  +2               0 1 0 00001011 00001011 00001010 
 6835000000  +1               0 1 1 00001011 00001011 00001010 
 6835000000  +3               0 1 1 00001011 00001011 00001011 
 6840000000  +1               0 1 0 00000000 00001011 00001011 
 6840000000  +2               0 1 0 00000000 00000000 00001011 
 6845000000  +1               0 1 1 00000000 00000000 00001011 
 6845000000  +3               0 1 1 00000000 00000000 00000000 
 6850000000  +1               0 1 0 00000001 00000000 00000000 
 6850000000  +2               0 1 0 00000001 00000001 00000000 
 6855000000  +1               0 1 1 00000001 00000001 00000000 
 6855000000  +3               0 1 1 00000001 00000001 00000001 
 6860000000  +1               0 1 0 00000010 00000001 00000001 
 6860000000  +2               0 1 0 00000010 00000010 00000001 
 6865000000  +1               0 1 1 00000010 00000010 00000001 
 6865000000  +3               0 1 1 00000010 00000010 00000010 
 6870000000  +1               0 1 0 00000011 00000010 00000010 
 6870000000  +2               0 1 0 00000011 00000011 00000010 
 6875000000  +1               0 1 1 00000011 00000011 00000010 
 6875000000  +3               0 1 1 00000011 00000011 00000011 
 6880000000  +1               0 1 0 00000100 00000011 00000011 
 6880000000  +2               0 1 0 00000100 00000100 00000011 
 6885000000  +1               0 1 1 00000100 00000100 00000011 
 6885000000  +3               0 1 1 00000100 00000100 00000100 
 6890000000  +1               0 1 0 00000101 00000100 00000100 
 6890000000  +2               0 1 0 00000101 00000101 00000100 
 6895000000  +1               0 1 1 00000101 00000101 00000100 
 6895000000  +3               0 1 1 00000101 00000101 00000101 
 6900000000  +1               0 1 0 00000110 00000101 00000101 
 6900000000  +2               0 1 0 00000110 00000110 00000101 
 6905000000  +1               0 1 1 00000110 00000110 00000101 
 6905000000  +3               0 1 1 00000110 00000110 00000110 
 6910000000  +1               0 1 0 00000111 00000110 00000110 
 6910000000  +2               0 1 0 00000111 00000111 00000110 
 6915000000  +1               0 1 1 00000111 00000111 00000110 
 6915000000  +3               0 1 1 00000111 00000111 00000111 
 6920000000  +1               0 1 0 00001000 00000111 00000111 
 6920000000  +2               0 1 0 00001000 00001000 00000111 
 6925000000  +1               0 1 1 00001000 00001000 00000111 
 6925000000  +3               0 1 1 00001000 00001000 00001000 
 6930000000  +1               0 1 0 00001001 00001000 00001000 
 6930000000  +2               0 1 0 00001001 00001001 00001000 
 6935000000  +1               0 1 1 00001001 00001001 00001000 
 6935000000  +3               0 1 1 00001001 00001001 00001001 
 6940000000  +1               0 1 0 00001010 00001001 00001001 
 6940000000  +2               0 1 0 00001010 00001010 00001001 
 6945000000  +1               0 1 1 00001010 00001010 00001001 
 6945000000  +3               0 1 1 00001010 00001010 00001010 
 6950000000  +1               0 1 0 00001011 00001010 00001010 
 6950000000  +2               0 1 0 00001011 00001011 00001010 
 6955000000  +1               0 1 1 00001011 00001011 00001010 
 6955000000  +3               0 1 1 00001011 00001011 00001011 
 6960000000  +1               0 1 0 00000000 00001011 00001011 
 6960000000  +2               0 1 0 00000000 00000000 00001011 
 6965000000  +1               0 1 1 00000000 00000000 00001011 
 6965000000  +3               0 1 1 00000000 00000000 00000000 
 6970000000  +1               0 1 0 00000001 00000000 00000000 
 6970000000  +2               0 1 0 00000001 00000001 00000000 
 6975000000  +1               0 1 1 00000001 00000001 00000000 
 6975000000  +3               0 1 1 00000001 00000001 00000001 
 6980000000  +1               0 1 0 00000010 00000001 00000001 
 6980000000  +2               0 1 0 00000010 00000010 00000001 
 6985000000  +1               0 1 1 00000010 00000010 00000001 
 6985000000  +3               0 1 1 00000010 00000010 00000010 
 6990000000  +1               0 1 0 00000011 00000010 00000010 
 6990000000  +2               0 1 0 00000011 00000011 00000010 
 6995000000  +1               0 1 1 00000011 00000011 00000010 
 6995000000  +3               0 1 1 00000011 00000011 00000011 
 7000000000  +1               0 1 0 00000100 00000011 00000011 
 7000000000  +2               0 1 0 00000100 00000100 00000011 
 7005000000  +1               0 1 1 00000100 00000100 00000011 
 7005000000  +3               0 1 1 00000100 00000100 00000100 
 7010000000  +1               0 1 0 00000101 00000100 00000100 
 7010000000  +2               0 1 0 00000101 00000101 00000100 
 7015000000  +1               0 1 1 00000101 00000101 00000100 
 7015000000  +3               0 1 1 00000101 00000101 00000101 
 7020000000  +1               0 1 0 00000110 00000101 00000101 
 7020000000  +2               0 1 0 00000110 00000110 00000101 
 7025000000  +1               0 1 1 00000110 00000110 00000101 
 7025000000  +3               0 1 1 00000110 00000110 00000110 
 7030000000  +1               0 1 0 00000111 00000110 00000110 
 7030000000  +2               0 1 0 00000111 00000111 00000110 
 7035000000  +1               0 1 1 00000111 00000111 00000110 
 7035000000  +3               0 1 1 00000111 00000111 00000111 
 7040000000  +1               0 1 0 00001000 00000111 00000111 
 7040000000  +2               0 1 0 00001000 00001000 00000111 
 7045000000  +1               0 1 1 00001000 00001000 00000111 
 7045000000  +3               0 1 1 00001000 00001000 00001000 
 7050000000  +1               0 1 0 00001001 00001000 00001000 
 7050000000  +2               0 1 0 00001001 00001001 00001000 
 7055000000  +1               0 1 1 00001001 00001001 00001000 
 7055000000  +3               0 1 1 00001001 00001001 00001001 
 7060000000  +1               0 1 0 00001010 00001001 00001001 
 7060000000  +2               0 1 0 00001010 00001010 00001001 
 7065000000  +1               0 1 1 00001010 00001010 00001001 
 7065000000  +3               0 1 1 00001010 00001010 00001010 
 7070000000  +1               0 1 0 00001011 00001010 00001010 
 7070000000  +2               0 1 0 00001011 00001011 00001010 
 7075000000  +1               0 1 1 00001011 00001011 00001010 
 7075000000  +3               0 1 1 00001011 00001011 00001011 
 7080000000  +1               0 1 0 00000000 00001011 00001011 
 7080000000  +2               0 1 0 00000000 00000000 00001011 
 7085000000  +1               0 1 1 00000000 00000000 00001011 
 7085000000  +3               0 1 1 00000000 00000000 00000000 
 7090000000  +1               0 1 0 00000001 00000000 00000000 
 7090000000  +2               0 1 0 00000001 00000001 00000000 
 7095000000  +1               0 1 1 00000001 00000001 00000000 
 7095000000  +3               0 1 1 00000001 00000001 00000001 
 7100000000  +1               0 1 0 00000010 00000001 00000001 
 7100000000  +2               0 1 0 00000010 00000010 00000001 
 7105000000  +1               0 1 1 00000010 00000010 00000001 
 7105000000  +3               0 1 1 00000010 00000010 00000010 
 7110000000  +1               0 1 0 00000011 00000010 00000010 
 7110000000  +2               0 1 0 00000011 00000011 00000010 
 7115000000  +1               0 1 1 00000011 00000011 00000010 
 7115000000  +3               0 1 1 00000011 00000011 00000011 
 7120000000  +1               0 1 0 00000100 00000011 00000011 
 7120000000  +2               0 1 0 00000100 00000100 00000011 
 7125000000  +1               0 1 1 00000100 00000100 00000011 
 7125000000  +3               0 1 1 00000100 00000100 00000100 
 7130000000  +1               0 1 0 00000101 00000100 00000100 
 7130000000  +2               0 1 0 00000101 00000101 00000100 
 7135000000  +1               0 1 1 00000101 00000101 00000100 
 7135000000  +3               0 1 1 00000101 00000101 00000101 
 7140000000  +1               0 1 0 00000110 00000101 00000101 
 7140000000  +2               0 1 0 00000110 00000110 00000101 
 7145000000  +1               0 1 1 00000110 00000110 00000101 
 7145000000  +3               0 1 1 00000110 00000110 00000110 
 7150000000  +1               0 1 0 00000111 00000110 00000110 
 7150000000  +2               0 1 0 00000111 00000111 00000110 
 7155000000  +1               0 1 1 00000111 00000111 00000110 
 7155000000  +3               0 1 1 00000111 00000111 00000111 
 7160000000  +1               0 1 0 00001000 00000111 00000111 
 7160000000  +2               0 1 0 00001000 00001000 00000111 
 7165000000  +1               0 1 1 00001000 00001000 00000111 
 7165000000  +3               0 1 1 00001000 00001000 00001000 
 7170000000  +1               0 1 0 00001001 00001000 00001000 
 7170000000  +2               0 1 0 00001001 00001001 00001000 
 7175000000  +1               0 1 1 00001001 00001001 00001000 
 7175000000  +3               0 1 1 00001001 00001001 00001001 
 7180000000  +1               0 1 0 00001010 00001001 00001001 
 7180000000  +2               0 1 0 00001010 00001010 00001001 
 7185000000  +1               0 1 1 00001010 00001010 00001001 
 7185000000  +3               0 1 1 00001010 00001010 00001010 
 7190000000  +1               0 1 0 00001011 00001010 00001010 
 7190000000  +2               0 1 0 00001011 00001011 00001010 
 7195000000  +1               0 1 1 00001011 00001011 00001010 
 7195000000  +3               0 1 1 00001011 00001011 00001011 
 7200000000  +1               0 1 0 00000000 00001011 00001011 
 7200000000  +2               0 1 0 00000000 00000000 00001011 
 7205000000  +1               0 1 1 00000000 00000000 00001011 
 7205000000  +3               0 1 1 00000000 00000000 00000000 
 7210000000  +1               0 1 0 00000001 00000000 00000000 
 7210000000  +2               0 1 0 00000001 00000001 00000000 
 7215000000  +1               0 1 1 00000001 00000001 00000000 
 7215000000  +3               0 1 1 00000001 00000001 00000001 
 7220000000  +1               0 1 0 00000010 00000001 00000001 
 7220000000  +2               0 1 0 00000010 00000010 00000001 
 7225000000  +1               0 1 1 00000010 00000010 00000001 
 7225000000  +3               0 1 1 00000010 00000010 00000010 
 7230000000  +1               0 1 0 00000011 00000010 00000010 
 7230000000  +2               0 1 0 00000011 00000011 00000010 
 7235000000  +1               0 1 1 00000011 00000011 00000010 
 7235000000  +3               0 1 1 00000011 00000011 00000011 
 7240000000  +1               0 1 0 00000100 00000011 00000011 
 7240000000  +2               0 1 0 00000100 00000100 00000011 
 7245000000  +1               0 1 1 00000100 00000100 00000011 
 7245000000  +3               0 1 1 00000100 00000100 00000100 
 7250000000  +1               0 1 0 00000101 00000100 00000100 
 7250000000  +2               0 1 0 00000101 00000101 00000100 
 7255000000  +1               0 1 1 00000101 00000101 00000100 
 7255000000  +3               0 1 1 00000101 00000101 00000101 
 7260000000  +1               0 1 0 00000110 00000101 00000101 
 7260000000  +2               0 1 0 00000110 00000110 00000101 
 7265000000  +1               0 1 1 00000110 00000110 00000101 
 7265000000  +3               0 1 1 00000110 00000110 00000110 
 7270000000  +1               0 1 0 00000111 00000110 00000110 
 7270000000  +2               0 1 0 00000111 00000111 00000110 
 7275000000  +1               0 1 1 00000111 00000111 00000110 
 7275000000  +3               0 1 1 00000111 00000111 00000111 
 7280000000  +1               0 1 0 00001000 00000111 00000111 
 7280000000  +2               0 1 0 00001000 00001000 00000111 
 7285000000  +1               0 1 1 00001000 00001000 00000111 
 7285000000  +3               0 1 1 00001000 00001000 00001000 
 7290000000  +1               0 1 0 00001001 00001000 00001000 
 7290000000  +2               0 1 0 00001001 00001001 00001000 
 7295000000  +1               0 1 1 00001001 00001001 00001000 
 7295000000  +3               0 1 1 00001001 00001001 00001001 
 7300000000  +1               0 1 0 00001010 00001001 00001001 
 7300000000  +2               0 1 0 00001010 00001010 00001001 
 7305000000  +1               0 1 1 00001010 00001010 00001001 
 7305000000  +3               0 1 1 00001010 00001010 00001010 
 7310000000  +1               0 1 0 00001011 00001010 00001010 
 7310000000  +2               0 1 0 00001011 00001011 00001010 
 7315000000  +1               0 1 1 00001011 00001011 00001010 
 7315000000  +3               0 1 1 00001011 00001011 00001011 
 7320000000  +1               0 1 0 00000000 00001011 00001011 
 7320000000  +2               0 1 0 00000000 00000000 00001011 
 7325000000  +1               0 1 1 00000000 00000000 00001011 
 7325000000  +3               0 1 1 00000000 00000000 00000000 
 7330000000  +1               0 1 0 00000001 00000000 00000000 
 7330000000  +2               0 1 0 00000001 00000001 00000000 
 7335000000  +1               0 1 1 00000001 00000001 00000000 
 7335000000  +3               0 1 1 00000001 00000001 00000001 
 7340000000  +1               0 1 0 00000010 00000001 00000001 
 7340000000  +2               0 1 0 00000010 00000010 00000001 
 7345000000  +1               0 1 1 00000010 00000010 00000001 
 7345000000  +3               0 1 1 00000010 00000010 00000010 
 7350000000  +1               0 1 0 00000011 00000010 00000010 
 7350000000  +2               0 1 0 00000011 00000011 00000010 
 7355000000  +1               0 1 1 00000011 00000011 00000010 
 7355000000  +3               0 1 1 00000011 00000011 00000011 
 7360000000  +1               0 1 0 00000100 00000011 00000011 
 7360000000  +2               0 1 0 00000100 00000100 00000011 
 7365000000  +1               0 1 1 00000100 00000100 00000011 
 7365000000  +3               0 1 1 00000100 00000100 00000100 
 7370000000  +1               0 1 0 00000101 00000100 00000100 
 7370000000  +2               0 1 0 00000101 00000101 00000100 
 7375000000  +1               0 1 1 00000101 00000101 00000100 
 7375000000  +3               0 1 1 00000101 00000101 00000101 
 7380000000  +1               0 1 0 00000110 00000101 00000101 
 7380000000  +2               0 1 0 00000110 00000110 00000101 
 7385000000  +1               0 1 1 00000110 00000110 00000101 
 7385000000  +3               0 1 1 00000110 00000110 00000110 
 7390000000  +1               0 1 0 00000111 00000110 00000110 
 7390000000  +2               0 1 0 00000111 00000111 00000110 
 7395000000  +1               0 1 1 00000111 00000111 00000110 
 7395000000  +3               0 1 1 00000111 00000111 00000111 
 7400000000  +1               0 1 0 00001000 00000111 00000111 
 7400000000  +2               0 1 0 00001000 00001000 00000111 
 7405000000  +1               0 1 1 00001000 00001000 00000111 
 7405000000  +3               0 1 1 00001000 00001000 00001000 
 7410000000  +1               0 1 0 00001001 00001000 00001000 
 7410000000  +2               0 1 0 00001001 00001001 00001000 
 7415000000  +1               0 1 1 00001001 00001001 00001000 
 7415000000  +3               0 1 1 00001001 00001001 00001001 
 7420000000  +1               0 1 0 00001010 00001001 00001001 
 7420000000  +2               0 1 0 00001010 00001010 00001001 
 7425000000  +1               0 1 1 00001010 00001010 00001001 
 7425000000  +3               0 1 1 00001010 00001010 00001010 
 7430000000  +1               0 1 0 00001011 00001010 00001010 
 7430000000  +2               0 1 0 00001011 00001011 00001010 
 7435000000  +1               0 1 1 00001011 00001011 00001010 
 7435000000  +3               0 1 1 00001011 00001011 00001011 
 7440000000  +1               0 1 0 00000000 00001011 00001011 
 7440000000  +2               0 1 0 00000000 00000000 00001011 
 7445000000  +1               0 1 1 00000000 00000000 00001011 
 7445000000  +3               0 1 1 00000000 00000000 00000000 
 7450000000  +1               0 1 0 00000001 00000000 00000000 
 7450000000  +2               0 1 0 00000001 00000001 00000000 
 7455000000  +1               0 1 1 00000001 00000001 00000000 
 7455000000  +3               0 1 1 00000001 00000001 00000001 
 7460000000  +1               0 1 0 00000010 00000001 00000001 
 7460000000  +2               0 1 0 00000010 00000010 00000001 
 7465000000  +1               0 1 1 00000010 00000010 00000001 
 7465000000  +3               0 1 1 00000010 00000010 00000010 
 7470000000  +1               0 1 0 00000011 00000010 00000010 
 7470000000  +2               0 1 0 00000011 00000011 00000010 
 7475000000  +1               0 1 1 00000011 00000011 00000010 
 7475000000  +3               0 1 1 00000011 00000011 00000011 
 7480000000  +1               0 1 0 00000100 00000011 00000011 
 7480000000  +2               0 1 0 00000100 00000100 00000011 
 7485000000  +1               0 1 1 00000100 00000100 00000011 
 7485000000  +3               0 1 1 00000100 00000100 00000100 
 7490000000  +1               0 1 0 00000101 00000100 00000100 
 7490000000  +2               0 1 0 00000101 00000101 00000100 
 7495000000  +1               0 1 1 00000101 00000101 00000100 
 7495000000  +3               0 1 1 00000101 00000101 00000101 
 7500000000  +1               0 1 0 00000110 00000101 00000101 
 7500000000  +2               0 1 0 00000110 00000110 00000101 
 7505000000  +1               0 1 1 00000110 00000110 00000101 
 7505000000  +3               0 1 1 00000110 00000110 00000110 
 7510000000  +1               0 1 0 00000111 00000110 00000110 
 7510000000  +2               0 1 0 00000111 00000111 00000110 
 7515000000  +1               0 1 1 00000111 00000111 00000110 
 7515000000  +3               0 1 1 00000111 00000111 00000111 
 7520000000  +1               0 1 0 00001000 00000111 00000111 
 7520000000  +2               0 1 0 00001000 00001000 00000111 
 7525000000  +1               0 1 1 00001000 00001000 00000111 
 7525000000  +3               0 1 1 00001000 00001000 00001000 
 7530000000  +1               0 1 0 00001001 00001000 00001000 
 7530000000  +2               0 1 0 00001001 00001001 00001000 
 7535000000  +1               0 1 1 00001001 00001001 00001000 
 7535000000  +3               0 1 1 00001001 00001001 00001001 
 7540000000  +1               0 1 0 00001010 00001001 00001001 
 7540000000  +2               0 1 0 00001010 00001010 00001001 
 7545000000  +1               0 1 1 00001010 00001010 00001001 
 7545000000  +3               0 1 1 00001010 00001010 00001010 
 7550000000  +1               0 1 0 00001011 00001010 00001010 
 7550000000  +2               0 1 0 00001011 00001011 00001010 
 7555000000  +1               0 1 1 00001011 00001011 00001010 
 7555000000  +3               0 1 1 00001011 00001011 00001011 
 7560000000  +1               0 1 0 00000000 00001011 00001011 
 7560000000  +2               0 1 0 00000000 00000000 00001011 
 7565000000  +1               0 1 1 00000000 00000000 00001011 
 7565000000  +3               0 1 1 00000000 00000000 00000000 
 7570000000  +1               0 1 0 00000001 00000000 00000000 
 7570000000  +2               0 1 0 00000001 00000001 00000000 
 7575000000  +1               0 1 1 00000001 00000001 00000000 
 7575000000  +3               0 1 1 00000001 00000001 00000001 
 7580000000  +1               0 1 0 00000010 00000001 00000001 
 7580000000  +2               0 1 0 00000010 00000010 00000001 
 7585000000  +1               0 1 1 00000010 00000010 00000001 
 7585000000  +3               0 1 1 00000010 00000010 00000010 
 7590000000  +1               0 1 0 00000011 00000010 00000010 
 7590000000  +2               0 1 0 00000011 00000011 00000010 
 7595000000  +1               0 1 1 00000011 00000011 00000010 
 7595000000  +3               0 1 1 00000011 00000011 00000011 
 7600000000  +1               0 1 0 00000100 00000011 00000011 
 7600000000  +2               0 1 0 00000100 00000100 00000011 
 7605000000  +1               0 1 1 00000100 00000100 00000011 
 7605000000  +3               0 1 1 00000100 00000100 00000100 
 7610000000  +1               0 1 0 00000101 00000100 00000100 
 7610000000  +2               0 1 0 00000101 00000101 00000100 
 7615000000  +1               0 1 1 00000101 00000101 00000100 
 7615000000  +3               0 1 1 00000101 00000101 00000101 
 7620000000  +1               0 1 0 00000110 00000101 00000101 
 7620000000  +2               0 1 0 00000110 00000110 00000101 
 7625000000  +1               0 1 1 00000110 00000110 00000101 
 7625000000  +3               0 1 1 00000110 00000110 00000110 
 7630000000  +1               0 1 0 00000111 00000110 00000110 
 7630000000  +2               0 1 0 00000111 00000111 00000110 
 7635000000  +1               0 1 1 00000111 00000111 00000110 
 7635000000  +3               0 1 1 00000111 00000111 00000111 
 7640000000  +1               0 1 0 00001000 00000111 00000111 
 7640000000  +2               0 1 0 00001000 00001000 00000111 
 7645000000  +1               0 1 1 00001000 00001000 00000111 
 7645000000  +3               0 1 1 00001000 00001000 00001000 
 7650000000  +1               0 1 0 00001001 00001000 00001000 
 7650000000  +2               0 1 0 00001001 00001001 00001000 
 7655000000  +1               0 1 1 00001001 00001001 00001000 
 7655000000  +3               0 1 1 00001001 00001001 00001001 
 7660000000  +1               0 1 0 00001010 00001001 00001001 
 7660000000  +2               0 1 0 00001010 00001010 00001001 
 7665000000  +1               0 1 1 00001010 00001010 00001001 
 7665000000  +3               0 1 1 00001010 00001010 00001010 
 7670000000  +1               0 1 0 00001011 00001010 00001010 
 7670000000  +2               0 1 0 00001011 00001011 00001010 
 7675000000  +1               0 1 1 00001011 00001011 00001010 
 7675000000  +3               0 1 1 00001011 00001011 00001011 
 7680000000  +1               0 1 0 00000000 00001011 00001011 
 7680000000  +2               0 1 0 00000000 00000000 00001011 
 7685000000  +1               0 1 1 00000000 00000000 00001011 
 7685000000  +3               0 1 1 00000000 00000000 00000000 
 7690000000  +1               0 1 0 00000001 00000000 00000000 
 7690000000  +2               0 1 0 00000001 00000001 00000000 
 7695000000  +1               0 1 1 00000001 00000001 00000000 
 7695000000  +3               0 1 1 00000001 00000001 00000001 
 7700000000  +1               0 1 0 00000010 00000001 00000001 
 7700000000  +2               0 1 0 00000010 00000010 00000001 
 7705000000  +1               0 1 1 00000010 00000010 00000001 
 7705000000  +3               0 1 1 00000010 00000010 00000010 
 7710000000  +1               0 1 0 00000011 00000010 00000010 
 7710000000  +2               0 1 0 00000011 00000011 00000010 
 7715000000  +1               0 1 1 00000011 00000011 00000010 
 7715000000  +3               0 1 1 00000011 00000011 00000011 
 7720000000  +1               0 1 0 00000100 00000011 00000011 
 7720000000  +2               0 1 0 00000100 00000100 00000011 
 7725000000  +1               0 1 1 00000100 00000100 00000011 
 7725000000  +3               0 1 1 00000100 00000100 00000100 
 7730000000  +1               0 1 0 00000101 00000100 00000100 
 7730000000  +2               0 1 0 00000101 00000101 00000100 
 7735000000  +1               0 1 1 00000101 00000101 00000100 
 7735000000  +3               0 1 1 00000101 00000101 00000101 
 7740000000  +1               0 1 0 00000110 00000101 00000101 
 7740000000  +2               0 1 0 00000110 00000110 00000101 
 7745000000  +1               0 1 1 00000110 00000110 00000101 
 7745000000  +3               0 1 1 00000110 00000110 00000110 
 7750000000  +1               0 1 0 00000111 00000110 00000110 
 7750000000  +2               0 1 0 00000111 00000111 00000110 
 7755000000  +1               0 1 1 00000111 00000111 00000110 
 7755000000  +3               0 1 1 00000111 00000111 00000111 
 7760000000  +1               0 1 0 00001000 00000111 00000111 
 7760000000  +2               0 1 0 00001000 00001000 00000111 
 7765000000  +1               0 1 1 00001000 00001000 00000111 
 7765000000  +3               0 1 1 00001000 00001000 00001000 
 7770000000  +1               0 1 0 00001001 00001000 00001000 
 7770000000  +2               0 1 0 00001001 00001001 00001000 
 7775000000  +1               0 1 1 00001001 00001001 00001000 
 7775000000  +3               0 1 1 00001001 00001001 00001001 
 7780000000  +1               0 1 0 00001010 00001001 00001001 
 7780000000  +2               0 1 0 00001010 00001010 00001001 
 7785000000  +1               0 1 1 00001010 00001010 00001001 
 7785000000  +3               0 1 1 00001010 00001010 00001010 
 7790000000  +1               0 1 0 00001011 00001010 00001010 
 7790000000  +2               0 1 0 00001011 00001011 00001010 
 7795000000  +1               0 1 1 00001011 00001011 00001010 
 7795000000  +3               0 1 1 00001011 00001011 00001011 
 7800000000  +1               0 1 0 00000000 00001011 00001011 
 7800000000  +2               0 1 0 00000000 00000000 00001011 
 7805000000  +1               0 1 1 00000000 00000000 00001011 
 7805000000  +3               0 1 1 00000000 00000000 00000000 
 7810000000  +1               0 1 0 00000001 00000000 00000000 
 7810000000  +2               0 1 0 00000001 00000001 00000000 
 7815000000  +1               0 1 1 00000001 00000001 00000000 
 7815000000  +3               0 1 1 00000001 00000001 00000001 
 7820000000  +1               0 1 0 00000010 00000001 00000001 
 7820000000  +2               0 1 0 00000010 00000010 00000001 
 7825000000  +1               0 1 1 00000010 00000010 00000001 
 7825000000  +3               0 1 1 00000010 00000010 00000010 
 7830000000  +1               0 1 0 00000011 00000010 00000010 
 7830000000  +2               0 1 0 00000011 00000011 00000010 
 7835000000  +1               0 1 1 00000011 00000011 00000010 
 7835000000  +3               0 1 1 00000011 00000011 00000011 
 7840000000  +1               0 1 0 00000100 00000011 00000011 
 7840000000  +2               0 1 0 00000100 00000100 00000011 
 7845000000  +1               0 1 1 00000100 00000100 00000011 
 7845000000  +3               0 1 1 00000100 00000100 00000100 
 7850000000  +1               0 1 0 00000101 00000100 00000100 
 7850000000  +2               0 1 0 00000101 00000101 00000100 
 7855000000  +1               0 1 1 00000101 00000101 00000100 
 7855000000  +3               0 1 1 00000101 00000101 00000101 
 7860000000  +1               0 1 0 00000110 00000101 00000101 
 7860000000  +2               0 1 0 00000110 00000110 00000101 
 7865000000  +1               0 1 1 00000110 00000110 00000101 
 7865000000  +3               0 1 1 00000110 00000110 00000110 
 7870000000  +1               0 1 0 00000111 00000110 00000110 
 7870000000  +2               0 1 0 00000111 00000111 00000110 
 7875000000  +1               0 1 1 00000111 00000111 00000110 
 7875000000  +3               0 1 1 00000111 00000111 00000111 
 7880000000  +1               0 1 0 00001000 00000111 00000111 
 7880000000  +2               0 1 0 00001000 00001000 00000111 
 7885000000  +1               0 1 1 00001000 00001000 00000111 
 7885000000  +3               0 1 1 00001000 00001000 00001000 
 7890000000  +1               0 1 0 00001001 00001000 00001000 
 7890000000  +2               0 1 0 00001001 00001001 00001000 
 7895000000  +1               0 1 1 00001001 00001001 00001000 
