         ps       /tb_final/rst  /tb_final/detector         
          delta     /tb_final/ena                           
                      /tb_final/clk                         
                               /tb_final/din                
                                /tb_final/cond              
          0  +0               U U U UUUUUUUU 0    U 
  645000000  +1               0 1 1 01110001 0    0 
  650000000  +1               0 1 0 01110001 0    0 
  655000000  +1               0 1 1 01110001 0    0 
  660000000  +1               0 1 0 01110001 0    0 
  665000000  +1               0 1 1 01110001 0    0 
  670000000  +1               0 1 0 01110001 0    0 
  675000000  +1               0 1 1 01110001 0    0 
  680000000  +1               0 1 0 01110001 0    0 
  685000000  +1               0 1 1 01110001 0    0 
  690000000  +1               0 1 0 01110001 0    0 
  695000000  +1               0 1 1 01110001 0    0 
  700000000  +1               0 1 0 01110001 0    0 
  705000000  +1               0 1 1 01110001 0    0 
  710000000  +1               0 1 0 01110001 0    0 
  715000000  +1               0 1 1 01110001 0    0 
  720000000  +1               0 1 0 01110001 0    0 
  725000000  +1               0 1 1 01110001 0    0 
  730000000  +1               0 1 0 01110001 0    0 
  735000000  +1               0 1 1 01110001 0    0 
  740000000  +1               0 1 0 01110001 0    0 
  745000000  +1               0 1 1 01110001 0    0 
  750000000  +1               0 1 0 01110001 0    0 
  755000000  +1               0 1 1 01110001 0    0 
  760000000  +1               0 1 0 01110001 0    0 
  765000000  +1               0 1 1 01110001 0    0 
  770000000  +1               0 1 0 01110001 0    0 
  775000000  +1               0 1 1 01110001 0    0 
  780000000  +1               0 1 0 01110001 0    0 
  785000000  +1               0 1 1 01110001 0    0 
  790000000  +1               0 1 0 01110001 0    0 
  795000000  +1               0 1 1 01110001 0    0 
  800000000  +1               0 1 0 01110001 0    0 
  805000000  +1               0 1 1 01110001 0    0 
  810000000  +1               0 1 0 01110001 0    0 
  815000000  +1               0 1 1 01110001 0    0 
  820000000  +1               0 1 0 01110001 0    0 
  825000000  +1               0 1 1 01110001 0    0 
  830000000  +1               0 1 0 01110001 0    0 
  835000000  +1               0 1 1 01110001 0    0 
  840000000  +1               0 1 0 01110001 0    0 
  845000000  +1               0 1 1 01110001 0    0 
  850000000  +1               0 1 0 01110001 0    0 
  855000000  +1               0 1 1 01110001 0    0 
  860000000  +1               0 1 0 01110001 0    0 
  865000000  +1               0 1 1 01110001 0    0 
  870000000  +1               0 1 0 01110001 0    0 
  875000000  +1               0 1 1 01110001 0    0 
  880000000  +1               0 1 0 01110001 0    0 
  885000000  +1               0 1 1 01110001 0    0 
  890000000  +1               0 1 0 01110001 0    0 
  895000000  +1               0 1 1 01110001 0    0 
  900000000  +1               0 1 0 01110001 0    0 
  905000000  +1               0 1 1 01110001 0    0 
  910000000  +1               0 1 0 01110001 0    0 
  915000000  +1               0 1 1 01110001 0    0 
  920000000  +1               0 1 0 01110001 0    0 
  925000000  +1               0 1 1 01110001 0    0 
  930000000  +1               0 1 0 01110001 0    0 
  935000000  +1               0 1 1 01110001 0    0 
  940000000  +1               0 1 0 01110001 0    0 
  945000000  +1               0 1 1 01110001 0    0 
  950000000  +1               0 1 0 01110001 0    0 
  955000000  +1               0 1 1 01110001 0    0 
  960000000  +1               0 1 0 01110001 0    0 
  965000000  +1               0 1 1 01110001 0    0 
  970000000  +1               0 1 0 01110001 0    0 
  975000000  +1               0 1 1 01110001 0    0 
  980000000  +1               0 1 0 01110001 0    0 
  985000000  +1               0 1 1 01110001 0    0 
  990000000  +1               0 1 0 01110001 0    0 
  995000000  +1               0 1 1 01110001 0    0 
 1000000000  +1               0 1 0 01110001 0    0 
 1005000000  +1               0 1 1 01110001 0    0 
 1010000000  +1               0 1 0 01110001 0    0 
 1015000000  +1               0 1 1 01110001 0    0 
 1020000000  +1               0 1 0 01110001 0    0 
 1025000000  +1               0 1 1 01110001 0    0 
 1030000000  +1               0 1 0 01110001 0    0 
 1035000000  +1               0 1 1 01110001 0    0 
 1040000000  +1               0 1 0 01110001 0    0 
 1045000000  +1               0 1 1 01110001 0    0 
 1050000000  +1               0 1 0 01110001 0    0 
 1055000000  +1               0 1 1 01110001 0    0 
 1060000000  +1               0 1 0 01110001 0    0 
 1065000000  +1               0 1 1 01110001 0    0 
 1070000000  +1               0 1 0 01110001 0    0 
 1075000000  +1               0 1 1 01110001 0    0 
 1080000000  +1               0 1 0 01110001 0    0 
 1085000000  +1               0 1 1 01110001 0    0 
 1090000000  +1               0 1 0 01110001 0    0 
 1095000000  +1               0 1 1 01110001 0    0 
 1100000000  +1               0 1 0 01110001 0    0 
 1105000000  +1               0 1 1 01110001 0    0 
 1110000000  +1               0 1 0 01110001 0    0 
 1115000000  +1               0 1 1 01110001 0    0 
 1120000000  +1               0 1 0 01110001 0    0 
 1125000000  +1               0 1 1 01110001 0    0 
 1130000000  +1               0 1 0 01110001 0    0 
 1135000000  +1               0 1 1 01110001 0    0 
 1140000000  +1               0 1 0 01110001 0    0 
 1145000000  +1               0 1 1 01110001 0    0 
 1150000000  +1               0 1 0 01110001 0    0 
 1155000000  +1               0 1 1 01110001 0    0 
 1160000000  +1               0 1 0 01110001 0    0 
 1165000000  +1               0 1 1 01110001 0    0 
 1170000000  +1               0 1 0 01110001 0    0 
 1175000000  +1               0 1 1 01110001 0    0 
 1180000000  +1               0 1 0 01110001 0    0 
 1185000000  +1               0 1 1 01110001 0    0 
 1190000000  +1               0 1 0 01110001 0    0 
 1195000000  +1               0 1 1 01110001 0    0 
 1200000000  +1               0 1 0 01110001 0    0 
 1205000000  +1               0 1 1 01110001 0    0 
 1210000000  +1               0 1 0 01110001 0    0 
 1215000000  +1               0 1 1 01110001 0    0 
 1220000000  +1               0 1 0 01110001 0    0 
 1225000000  +1               0 1 1 01110001 0    0 
 1230000000  +1               0 1 0 01110001 0    0 
 1235000000  +1               0 1 1 01110001 0    0 
 1240000000  +1               0 1 0 01110001 0    0 
 1245000000  +1               0 1 1 01110001 0    0 
 1250000000  +1               0 1 0 01110001 0    0 
 1255000000  +1               0 1 1 01110001 0    0 
 1260000000  +1               0 1 0 01110001 0    0 
 1265000000  +1               0 1 1 01110001 0    0 
 1270000000  +1               0 1 0 01110001 0    0 
 1275000000  +1               0 1 1 01110001 0    0 
 1280000000  +1               0 1 0 01110001 0    0 
 1285000000  +1               0 1 1 01110001 0    0 
 1290000000  +1               0 1 0 01110001 0    0 
 1295000000  +1               0 1 1 01110001 0    0 
 1300000000  +1               0 1 0 01110001 0    0 
 1305000000  +1               0 1 1 01110001 0    0 
 1310000000  +1               0 1 0 01110001 0    0 
 1315000000  +1               0 1 1 01110001 0    0 
 1320000000  +1               0 1 0 01110001 0    0 
 1325000000  +1               0 1 1 01110001 0    0 
 1330000000  +1               0 1 0 01110001 0    0 
 1335000000  +1               0 1 1 01110001 0    0 
 1340000000  +1               0 1 0 01110001 0    0 
 1345000000  +1               0 1 1 01110001 0    0 
 1350000000  +1               0 1 0 01110001 0    0 
 1355000000  +1               0 1 1 01110001 0    0 
 1360000000  +1               0 1 0 01110001 0    0 
 1365000000  +1               0 1 1 01110001 0    0 
 1370000000  +1               0 1 0 01110001 0    0 
 1375000000  +1               0 1 1 01110001 0    0 
 1380000000  +1               0 1 0 01110001 0    0 
 1385000000  +1               0 1 1 01110001 0    0 
 1390000000  +1               0 1 0 01110001 0    0 
 1395000000  +1               0 1 1 01110001 0    0 
 1400000000  +1               0 1 0 01110001 0    0 
 1405000000  +1               0 1 1 01110001 0    0 
 1410000000  +1               0 1 0 01110001 0    0 
 1415000000  +1               0 1 1 01110001 0    0 
 1420000000  +1               0 1 0 01110001 0    0 
 1425000000  +1               0 1 1 01110001 0    0 
 1430000000  +1               0 1 0 01110001 0    0 
 1435000000  +1               0 1 1 01110001 0    0 
 1440000000  +1               0 1 0 01110001 0    0 
 1445000000  +1               0 1 1 01110001 0    0 
 1450000000  +1               0 1 0 01110001 0    0 
 1455000000  +1               0 1 1 01110001 0    0 
 1460000000  +1               0 1 0 01110001 0    0 
 1465000000  +1               0 1 1 01110001 0    0 
 1470000000  +1               0 1 0 01110001 0    0 
 1475000000  +1               0 1 1 01110001 0    0 
 1480000000  +1               0 1 0 01110001 0    0 
 1485000000  +1               0 1 1 01110001 0    0 
 1490000000  +1               0 1 0 01110001 0    0 
 1495000000  +1               0 1 1 01110001 0    0 
 1500000000  +1               0 1 0 01110001 0    0 
 1505000000  +1               0 1 1 01110001 0    0 
 1510000000  +1               0 1 0 01110001 0    0 
 1515000000  +1               0 1 1 01110001 0    0 
 1520000000  +1               0 1 0 01110001 0    0 
 1525000000  +1               0 1 1 01110001 0    0 
 1530000000  +1               0 1 0 01110001 0    0 
 1535000000  +1               0 1 1 01110001 0    0 
 1540000000  +1               0 1 0 01110001 0    0 
 1545000000  +1               0 1 1 01110001 0    0 
 1550000000  +1               0 1 0 01110001 0    0 
 1555000000  +1               0 1 1 01110001 0    0 
 1560000000  +1               0 1 0 01110001 0    0 
 1565000000  +1               0 1 1 01110001 0    0 
 1570000000  +1               0 1 0 01110001 0    0 
 1575000000  +1               0 1 1 01110001 0    0 
 1580000000  +1               0 1 0 01110001 0    0 
 1585000000  +1               0 1 1 01110001 0    0 
 1590000000  +1               0 1 0 01110001 0    0 
 1595000000  +1               0 1 1 01110001 0    0 
 1600000000  +1               0 1 0 01110001 0    0 
 1605000000  +1               0 1 1 01110001 0    0 
 1610000000  +1               0 1 0 01110001 0    0 
 1615000000  +1               0 1 1 01110001 0    0 
 1620000000  +1               0 1 0 01110001 0    0 
 1625000000  +1               0 1 1 01110001 0    0 
 1630000000  +1               0 1 0 01110001 0    0 
 1635000000  +1               0 1 1 01110001 0    0 
 1640000000  +1               0 1 0 01110001 0    0 
 1645000000  +1               0 1 1 01110001 0    0 
 1650000000  +1               0 1 0 01110001 0    0 
 1655000000  +1               0 1 1 01110001 0    0 
 1660000000  +1               0 1 0 01110001 0    0 
 1665000000  +1               0 1 1 01110001 0    0 
 1670000000  +1               0 1 0 01110001 0    0 
 1675000000  +1               0 1 1 01110001 0    0 
 1680000000  +1               0 1 0 01110001 0    0 
 1685000000  +1               0 1 1 01110001 0    0 
 1690000000  +1               0 1 0 01110001 0    0 
 1695000000  +1               0 1 1 01110001 0    0 
 1700000000  +1               0 1 0 01110001 0    0 
 1705000000  +1               0 1 1 01110001 0    0 
 1710000000  +1               0 1 0 01110001 0    0 
 1715000000  +1               0 1 1 01110001 0    0 
 1720000000  +1               0 1 0 01110001 0    0 
 1725000000  +1               0 1 1 01110001 0    0 
 1730000000  +1               0 1 0 01110001 0    0 
 1735000000  +1               0 1 1 01110001 0    0 
 1740000000  +1               0 1 0 01110001 0    0 
 1745000000  +1               0 1 1 01110001 0    0 
 1750000000  +1               0 1 0 01110001 0    0 
 1755000000  +1               0 1 1 01110001 0    0 
 1760000000  +1               0 1 0 01110001 0    0 
 1765000000  +1               0 1 1 01110001 0    0 
 1770000000  +1               0 1 0 01110001 0    0 
 1775000000  +1               0 1 1 01110001 0    0 
 1780000000  +1               0 1 0 01110001 0    0 
 1785000000  +1               0 1 1 01110001 0    0 
 1790000000  +1               0 1 0 01110001 0    0 
 1795000000  +1               0 1 1 01110001 0    0 
 1800000000  +1               0 1 0 01110001 0    0 
 1805000000  +1               0 1 1 01110001 0    0 
 1810000000  +1               0 1 0 01110001 0    0 
 1815000000  +1               0 1 1 01110001 0    0 
 1820000000  +1               0 1 0 01110001 0    0 
 1825000000  +1               0 1 1 01110001 0    0 
 1830000000  +1               0 1 0 01110001 0    0 
 1835000000  +1               0 1 1 01110001 0    0 
 1840000000  +1               0 1 0 01110001 0    0 
 1845000000  +1               0 1 1 01110001 0    0 
 1850000000  +1               0 1 0 01110001 0    0 
 1855000000  +1               0 1 1 01110001 0    0 
 1860000000  +1               0 1 0 01110001 0    0 
 1865000000  +1               0 1 1 01110001 0    0 
 1870000000  +1               0 1 0 01110001 0    0 
 1875000000  +1               0 1 1 01110001 0    0 
 1880000000  +1               0 1 0 01110001 0    0 
 1885000000  +1               0 1 1 01110001 0    0 
 1890000000  +1               0 1 0 01110001 0    0 
 1895000000  +1               0 1 1 01110001 0    0 
 1900000000  +1               0 1 0 01110001 0    0 
 1905000000  +1               0 1 1 01110001 0    0 
 1910000000  +1               0 1 0 01110001 0    0 
 1915000000  +1               0 1 1 01110001 0    0 
 1920000000  +1               0 1 0 01110001 0    0 
 1925000000  +1               0 1 1 01110001 0    0 
 1930000000  +1               0 1 0 01110001 0    0 
 1935000000  +1               0 1 1 01110001 0    0 
 1940000000  +1               0 1 0 01110001 0    0 
 1945000000  +1               0 1 1 01110001 0    0 
 1950000000  +1               0 1 0 01110001 0    0 
 1955000000  +1               0 1 1 01110001 0    0 
 1960000000  +1               0 1 0 01110001 0    0 
 1965000000  +1               0 1 1 01110001 0    0 
 1970000000  +1               0 1 0 01110001 0    0 
